full_name,repo_url,owner_repo,stars,forks
Matching-based-EXtrapolation,https://github.com/panmianzhi/Matching-based-EXtrapolation,panmianzhi/Matching-based-EXtrapolation,1,1
IOT_HUB,https://github.com/PRAISE-ADEYEYE/IOT_HUB,PRAISE-ADEYEYE/IOT_HUB,1,0
Crystal-Structure-Predictions-Capstone,https://github.com/Leon1849/Crystal-Structure-Predictions-Capstone,Leon1849/Crystal-Structure-Predictions-Capstone,1,0
HTGW,https://github.com/setten/HTGW,setten/HTGW,1,3
ChecMatE,https://github.com/yxguo1021/ChecMatE,yxguo1021/ChecMatE,1,2
neb-dynamics,https://github.com/mtzgroup/neb-dynamics,mtzgroup/neb-dynamics,1,0
HEAPML,https://github.com/sarmigan/HEAPML,sarmigan/HEAPML,1,0
PiezoTensorNet,https://github.com/Sachinscnpdl/PiezoTensorNet,Sachinscnpdl/PiezoTensorNet,1,1
previsao-renda,https://github.com/jessedatawiz/previsao-renda,jessedatawiz/previsao-renda,1,1
crystalPre,https://github.com/TheBestOrNothing-gwh/crystalPre,TheBestOrNothing-gwh/crystalPre,1,0
mc-react-phonon-visualizer,https://github.com/materialscloud-org/mc-react-phonon-visualizer,materialscloud-org/mc-react-phonon-visualizer,1,1
TFC-PACT-Net,https://github.com/rahulkhorana/TFC-PACT-Net,rahulkhorana/TFC-PACT-Net,1,0
Materials-ML-Predictor,https://github.com/alpha4s/Materials-ML-Predictor,alpha4s/Materials-ML-Predictor,1,0
pycoordinationnet,https://github.com/pbenner/pycoordinationnet,pbenner/pycoordinationnet,1,1
mxenes,https://github.com/boliqq07/mxenes,boliqq07/mxenes,1,1
Spring_System_Simulator,https://github.com/PRAISE-ADEYEYE/Spring_System_Simulator,PRAISE-ADEYEYE/Spring_System_Simulator,1,0
bandgap-benchmark,https://github.com/Shef-AIRE/bandgap-benchmark,Shef-AIRE/bandgap-benchmark,1,0
aiida-muon,https://github.com/positivemuon/aiida-muon,positivemuon/aiida-muon,1,1
project_Raman,https://github.com/caneparesearch/project_Raman,caneparesearch/project_Raman,1,1
2D-mag-GNN,https://github.com/rashigeek/2D-mag-GNN,rashigeek/2D-mag-GNN,1,0
QSAR,https://github.com/tahiri-lab/QSAR,tahiri-lab/QSAR,1,1
ASR_model,https://github.com/uw-cmg/ASR_model,uw-cmg/ASR_model,1,0
top-pypi-sdists-full,https://github.com/AA-Turner/top-pypi-sdists-full,AA-Turner/top-pypi-sdists-full,1,0
atomate2-addon-template,https://github.com/Matgenix/atomate2-addon-template,Matgenix/atomate2-addon-template,1,0
MaMoMo,https://github.com/Curtaz/MaMoMo,Curtaz/MaMoMo,1,2
DeepMuon,https://github.com/Airscker/DeepMuon,Airscker/DeepMuon,1,0
pymaterials,https://github.com/materials-toolkits/pymaterials,materials-toolkits/pymaterials,1,0
atelierGAN,https://github.com/Stephane-ISEN/atelierGAN,Stephane-ISEN/atelierGAN,1,2
ml2dft,https://github.com/joaocassianox7x/ml2dft,joaocassianox7x/ml2dft,1,1
AreaC-Tutorial-CECAM-2023,https://github.com/FAIRmat-NFDI/AreaC-Tutorial-CECAM-2023,FAIRmat-NFDI/AreaC-Tutorial-CECAM-2023,1,0
MPEA_HV-EL,https://github.com/Sachinscnpdl/MPEA_HV-EL,Sachinscnpdl/MPEA_HV-EL,1,1
masseff,https://github.com/wch3n/masseff,wch3n/masseff,1,1
aimsflow,https://github.com/jic198/aimsflow,jic198/aimsflow,1,0
cif-file-ingester,https://github.com/CitrineInformatics/cif-file-ingester,CitrineInformatics/cif-file-ingester,1,2
AI-Powered-Solar-Optimization,https://github.com/PRAISE-ADEYEYE/AI-Powered-Solar-Optimization,PRAISE-ADEYEYE/AI-Powered-Solar-Optimization,1,0
datasets,https://github.com/mesfind/datasets,mesfind/datasets,1,5
superconductors-gnn,https://github.com/cburdine/superconductors-gnn,cburdine/superconductors-gnn,1,0
decomposing-vibrations,https://github.com/KemalOenen/decomposing-vibrations,KemalOenen/decomposing-vibrations,1,0
catomistic,https://github.com/cjowen1/catomistic,cjowen1/catomistic,1,0
Crystal-Structure-Prediction,https://github.com/8Fantom8/Crystal-Structure-Prediction,8Fantom8/Crystal-Structure-Prediction,1,0
ai-material-property-prediction,https://github.com/metalsrini/ai-material-property-prediction,metalsrini/ai-material-property-prediction,1,0
Phase-Diagram-Plotter,https://github.com/lucahrens/Phase-Diagram-Plotter,lucahrens/Phase-Diagram-Plotter,1,0
LDES-Survey,https://github.com/energy-storage-analysis/LDES-Survey,energy-storage-analysis/LDES-Survey,1,0
AI4SC,https://github.com/Polaris0421/AI4SC,Polaris0421/AI4SC,1,0
quantumML,https://github.com/JasonGibsonUfl/quantumML,JasonGibsonUfl/quantumML,1,0
semtk-python3,https://github.com/ge-semtk/semtk-python3,ge-semtk/semtk-python3,1,4
CrystalStructureManipulation,https://github.com/CharlesCardot/CrystalStructureManipulation,CharlesCardot/CrystalStructureManipulation,1,0
AISHLoader,https://github.com/benxlam/AISHLoader,benxlam/AISHLoader,1,1
MultiMat,https://github.com/clott3/MultiMat,clott3/MultiMat,1,0
DeepIFC,https://github.com/timonenv/DeepIFC,timonenv/DeepIFC,1,1
ZoMBI-Hop,https://github.com/PV-Lab/ZoMBI-Hop,PV-Lab/ZoMBI-Hop,1,1
myStructure,https://github.com/jiang-yuha0/myStructure,jiang-yuha0/myStructure,1,0
MaiMLOtherfilesMerger,https://github.com/MaiMLFileHandlingPrograms/MaiMLOtherfilesMerger,MaiMLFileHandlingPrograms/MaiMLOtherfilesMerger,1,0
CGCNN_CS_419,https://github.com/sparsh2712/CGCNN_CS_419,sparsh2712/CGCNN_CS_419,1,0
GPR-HAT-barrier-prediction,https://github.com/evulan/GPR-HAT-barrier-prediction,evulan/GPR-HAT-barrier-prediction,1,0
