full_name,repo_url
periodicXTBworkflows,https://github.com/AlexBuccheri/periodicXTBworkflows
nanopore-adsorption-experiment,https://github.com/st4sd/nanopore-adsorption-experiment
ASID,https://github.com/ASID-Production/ASID
chemeleon,https://github.com/hspark1212/chemeleon
mlip-arena,https://github.com/christine-zhang1/mlip-arena
slabvacuum,https://github.com/ShotaNamerikawa/slabvacuum
MM-DTI,https://github.com/ndlongvn/MM-DTI
qe-input,https://github.com/epatyukova/qe-input
eNRRCrew,https://github.com/nkuhuxu/eNRRCrew
mc-react-library,https://github.com/materialscloud-org/mc-react-library
VASP-tools,https://github.com/Tonner-Zech-Group/VASP-tools
m3gnet,https://github.com/CibranLopez/m3gnet
qchem,https://github.com/UWFormulaN/qchem
mgs-lpp-imr-api,https://github.com/richlaver/mgs-lpp-imr-api
OAReactDiff_Paddle,https://github.com/zhiminzhang0830/OAReactDiff_Paddle
ZeoliteSynMetrics,https://github.com/learningmatter-mit/ZeoliteSynMetrics
longSeqRec,https://github.com/fatakWang/longSeqRec
pyphotonics,https://github.com/sheriftawfikabbas/pyphotonics
CTRL-MoE,https://github.com/mk314k/CTRL-MoE
MetaRuleGPT,https://github.com/WangLin1126/MetaRuleGPT
material-science-expert,https://github.com/saj3sh/material-science-expert
AutoDFT,https://github.com/lllangWV/AutoDFT
InterOptimus,https://github.com/HouGroup/InterOptimus
mpgrep,https://github.com/grimme-lab/mpgrep
polaritonic_index,https://github.com/luciacasc/polaritonic_index
heartysis_ai_demo_app,https://github.com/sa1nxz/heartysis_ai_demo_app
pyhtstack2d-master,https://github.com/QianZhang21/pyhtstack2d-master
OmniXAS,https://github.com/AI-multimodal/OmniXAS
AISHLoader,https://github.com/benxlam/AISHLoader
mpcharges,https://github.com/LeMaterial/mpcharges
MaiMLOtherfilesMerger,https://github.com/MaiMLFileHandlingPrograms/MaiMLOtherfilesMerger
ReactionGraphNeuralNetwork,https://github.com/learningmatter-mit/ReactionGraphNeuralNetwork
RLVacDiffSim,https://github.com/learningmatter-mit/RLVacDiffSim
UCT-CHGNet-tunner,https://github.com/Doctor-Wraith/UCT-CHGNet-tunner
WABgen,https://github.com/ovillegasb/WABgen
CGCNN_CS_419,https://github.com/sparsh2712/CGCNN_CS_419
chgnet,https://github.com/Long-Brian-Yang/chgnet
pymatgen-io-espresso,https://github.com/Griffin-Group/pymatgen-io-espresso
illacceptanything,https://github.com/kielmarj/illacceptanything
diep,https://github.com/materialsalchemist/diep
pymatgen-io-mp_archival,https://github.com/esoteric-ephemera/pymatgen-io-mp_archival
3DSC,https://github.com/aimat-lab/3DSC
topas_tools,https://github.com/DarioLewczyk/topas_tools
LUPI-Material-Properties-Prediction,https://github.com/enghock1/LUPI-Material-Properties-Prediction
RAGchat,https://github.com/rartzi/RAGchat
roboticsUI,https://github.com/D3TaLES/roboticsUI
matpes,https://github.com/materialsvirtuallab/matpes
labtools,https://github.com/userleaf/labtools
MCRT,https://github.com/fmggggg/MCRT
matgl_practice,https://github.com/Long-Brian-Yang/matgl_practice
my-structure-info-app-webpage,https://github.com/wyy-py/my-structure-info-app-webpage
build-and-push,https://github.com/ricardonpa/build-and-push
aiida-dmrg,https://github.com/nanotech-empa/aiida-dmrg
shore,https://github.com/geonda/shore
UOP,https://github.com/GenTrajSim/UOP
crystalprint,https://github.com/ppdebreuck/crystalprint
ferrodispcalc,https://github.com/MoseyQAQ/ferrodispcalc
DeeperBand,https://github.com/ljcj007/DeeperBand
ffopt,https://github.com/akvatol/ffopt
welcome-guide,https://github.com/ComCatLab/welcome-guide
ADSEC,https://github.com/drop-ener/ADSEC
AI4SC,https://github.com/Polaris0421/AI4SC
gt4sd-core,https://github.com/elzinga-ibm-research/gt4sd-core
Hybrid-solvating-electrolytes-for-practical-sodium-metal-batteries,https://github.com/acctouhou/Hybrid-solvating-electrolytes-for-practical-sodium-metal-batteries
MEMT680-Project-,https://github.com/ft337/MEMT680-Project-
pyPhysChem,https://github.com/rpoteau/pyPhysChem
icam-materials-database,https://github.com/vikram087/icam-materials-database
food-pantry,https://github.com/tangleon8/food-pantry
Unlabeled_EMG_Feature_Extraction,https://github.com/HerrXu01/Unlabeled_EMG_Feature_Extraction
Interactive_Molecules,https://github.com/hyuqing11/Interactive_Molecules
allogen_cdvae,https://github.com/grzegorzkaszuba/allogen_cdvae
GACSPy,https://github.com/Ocean-JH/GACSPy
Interhalogen_Battery,https://github.com/vidushiss/Interhalogen_Battery
larixite,https://github.com/xraypy/larixite
demo-QA,https://github.com/breadbread1984/demo-QA
SamplingIon-Insertion,https://github.com/ovillegasb/SamplingIon-Insertion
xraypro-web,https://github.com/AI4ChemS/xraypro-web
defectpl,https://github.com/Shibu778/defectpl
SUPERHEX,https://github.com/malaei/SUPERHEX
DataScience_MSF_CDMA,https://github.com/beritzellerplumhoff/DataScience_MSF_CDMA
aiida-dftk,https://github.com/aiidaplugins/aiida-dftk
poshcar,https://github.com/andypaulchen/poshcar
metrics_pipeline,https://github.com/E-Veillon/metrics_pipeline
CalculationExtract,https://github.com/Chen-Zi-Yi/CalculationExtract
bohr_app_pfd,https://github.com/ruoyuwang1995nya/bohr_app_pfd
openmx-wf_modified,https://github.com/AngusHsuPhys/openmx-wf_modified
Image-Captioning,https://github.com/axkk/Image-Captioning
Crystal_Language,https://github.com/Lanford2024/Crystal_Language
pylattice,https://github.com/nkitamuraQC/pylattice
xaelAi,https://github.com/traverseda/xaelAi
crystallite_size_calculator,https://github.com/bafgreat/crystallite_size_calculator
virp,https://github.com/andypaulchen/virp
mxgap,https://github.com/diegonti/mxgap
MatGraphDB,https://github.com/romerogroup/MatGraphDB
all,https://github.com/alphavector/all
NLP4MatSci-HoneyComb,https://github.com/BangLab-UdeM-Mila/NLP4MatSci-HoneyComb
crawfish,https://github.com/benrich37/crawfish
AIDAO1,https://github.com/VladimirKalajcidi/AIDAO1
hydragnn,https://github.com/anikat1/hydragnn
MatDB,https://github.com/lllangWV/MatDB
xrd-app,https://github.com/Chihaya-Fujiwara/xrd-app
scdp,https://github.com/kyonofx/scdp
EDiffCrystals,https://github.com/smglsn12/EDiffCrystals
2024-E-Question-e-of-the-2024-China-Huawei-Cup-postgraduate-mathematical-modeling-competition,https://github.com/xiezhen087/2024-E-Question-e-of-the-2024-China-Huawei-Cup-postgraduate-mathematical-modeling-competition
predict_energy_of_mols,https://github.com/Gruz2520/predict_energy_of_mols
Auto4DSTEM,https://github.com/m3-learning/Auto4DSTEM
pyHRMC,https://github.com/ehrhardtkm/pyHRMC
XRD-AutoAnalyzer,https://github.com/njszym/XRD-AutoAnalyzer
eos_workflow,https://github.com/jingslaw/eos_workflow
Chemistry-I,https://github.com/ElCabris/Chemistry-I
Toxicity_Assessment_of_Metal-Oxide_Nanoparticles,https://github.com/NataliaPapina/Toxicity_Assessment_of_Metal-Oxide_Nanoparticles
materials-project,https://github.com/guyanik/materials-project
GNN_embedding_exctract,https://github.com/zhiqiangcui71/GNN_embedding_exctract
MindDFT,https://github.com/12138xs/MindDFT
Traffic-ai,https://github.com/Aral-Tech/Traffic-ai
Phase-Diagram-Plotter,https://github.com/lucahrens/Phase-Diagram-Plotter
dZiner,https://github.com/mehradans92/dZiner
ContinuouSP,https://github.com/packer-jp/ContinuouSP
xrdsim,https://github.com/Jona210399/xrdsim
MOF-oxo,https://github.com/Jonathanlyj/MOF-oxo
cgcnn2,https://github.com/jcwang587/cgcnn2
modnet_gnn_enhanced_v0.2.1,https://github.com/rogeriog/modnet_gnn_enhanced_v0.2.1
inspired,https://github.com/neutrons/inspired
MasterThesis,https://github.com/FranK1308/MasterThesis
lsmetrics,https://github.com/anoopkcn/lsmetrics
DebyeCalculator,https://github.com/FrederikLizakJohansen/DebyeCalculator
TrapLimitedConversion,https://github.com/WMD-group/TrapLimitedConversion
mlrap,https://github.com/TMM-Group/mlrap
multiel_exp_lib,https://github.com/gudasergey/multiel_exp_lib
example-distro,https://github.com/blueraft/example-distro
opencv-2024,https://github.com/peter2317238492/opencv-2024
mattersim,https://github.com/microsoft/mattersim
Fe_alloy_GPR,https://github.com/jingsk/Fe_alloy_GPR
Assignments-Projects,https://github.com/ImranSeven/Assignments-Projects
CoPirate,https://github.com/carissacullen/CoPirate
